"","x"
"1",3
"2",1
"3",2
"4",3
"5",3
"6",3
"7",6
"8",1
"9",5
"10",2
"11",5
"12",2
"13",6
"14",10
"15",9
"16",8
"17",10
"18",2
"19",10
"20",9
"21",8
"22",10
"23",4
"24",4
"25",4
"26",1
"27",1
"28",3
"29",1
"30",1
"31",1
"32",9
"33",6
"34",10
"35",9
"36",10
"37",11
"38",11
"39",15
"40",5
"41",6
"42",9
"43",2
"44",4
"45",6
"46",5
"47",3
"48",3
"49",12
"50",1
"51",10
"52",10
"53",9
"54",10
"55",7
"56",14
"57",10
"58",8
"59",9
"60",11
"61",6
"62",2
"63",7
"64",12
"65",9
"66",7
"67",6
"68",10
"69",5
"70",9
"71",5
"72",9
"73",2
"74",2
"75",6
"76",13
"77",11
"78",9
"79",5
"80",8
"81",7
"82",6
"83",6
"84",1
"85",4
"86",5
"87",7
"88",11
"89",9
"90",9
"91",14
"92",9
"93",11
"94",9
"95",9
"96",11
"97",9
"98",7
"99",7
"100",2
"101",3
"102",8
"103",7
"104",2
"105",7
"106",5
"107",8
"108",8
"109",10
"110",5
"111",7
"112",9
"113",9
"114",8
"115",9
"116",5
"117",20
"118",4
"119",11
"120",14
"121",15
"122",17
"123",15
"124",13
"125",8
"126",6
"127",14
"128",9
"129",11
"130",10
"131",1
"132",14
"133",6
"134",8
"135",10
"136",4
"137",10
"138",8
"139",14
"140",9
"141",11
"142",9
"143",15
"144",15
"145",8
"146",11
"147",14
"148",5
"149",7
"150",8
"151",14
"152",12
"153",14
"154",13
"155",9
"156",11
"157",4
"158",1
"159",10
"160",17
"161",8
"162",8
"163",9
"164",15
"165",8
"166",9
"167",12
"168",21
"169",10
"170",10
"171",23
"172",8
"173",16
"174",14
"175",6
"176",11
"177",4
"178",3
"179",3
"180",17
"181",11
"182",15
"183",5
"184",6
"185",11
"186",24
"187",2
"188",7
"189",12
"190",8
"191",3
"192",7
"193",7
"194",9
"195",13
"196",18
"197",8
"198",28
"199",10
"200",22
"201",15
"202",2
"203",3
"204",10
"205",11
"206",8
"207",7
"208",5
"209",9
"210",8
"211",6
"212",21
"213",28
"214",10
"215",9
"216",7
