"","left","right","censored"
"1",3,7,1
"2",7,14,1
"3",14,21,1
"4",21,28,1
"5",28,33,1
"6",1,8,1
"7",8,15,1
"8",15,22,1
"9",22,30,1
"10",30,31,1
"11",2,9,1
"12",9,16,1
"13",16,24,1
"14",24,32,1
"15",32,34,0
"16",3,10,1
"17",10,17,1
"18",17,25,1
"19",25,33,1
"20",33,34,0
"21",3,9,1
"22",9,17,1
"23",17,24,1
"24",24,31,1
"25",31,36,1
"26",3,9,1
"27",9,17,1
"28",17,24,1
"29",24,30,0
"30",6,12,1
"31",12,20,0
"32",1,8,1
"33",8,15,1
"34",15,23,0
"35",5,12,0
"36",2,9,1
"37",9,16,0
"38",5,12,1
"39",12,19,1
"40",19,27,1
"41",27,33,1
"42",33,35,1
"43",2,9,0
"44",6,13,1
"45",13,20,1
"46",20,28,0
"47",10,17,1
"48",17,25,1
"49",25,33,1
"50",9,16,0
"51",8,15,1
"52",15,22,0
"53",10,17,1
"54",17,24,0
"55",2,9,1
"56",9,16,0
"57",32,33,1
"58",10,17,0
"59",9,16,0
"60",8,15,1
"61",15,23,1
"62",23,32,1
"63",32,34,1
"64",10,18,0
"65",4,11,1
"66",11,19,1
"67",19,25,1
"68",25,32,1
"69",32,33,1
"70",4,11,1
"71",11,19,0
"72",4,11,1
"73",11,19,1
"74",19,26,1
"75",26,32,1
"76",32,34,1
"77",1,9,1
"78",9,16,1
"79",16,23,1
"80",23,29,1
"81",29,34,1
"82",1,9,1
"83",9,16,0
"84",3,11,1
"85",11,18,1
"86",18,25,1
"87",25,31,1
"88",31,34,1
"89",1,9,0
"90",1,9,1
"91",9,16,1
"92",16,23,1
"93",23,29,1
"94",29,33,1
"95",1,9,0
"96",9,17,0
"97",6,14,1
"98",14,21,1
"99",21,28,1
"100",28,34,1
"101",10,18,1
"102",18,25,1
"103",25,32,1
"104",32,33,1
"105",9,17,1
"106",17,25,1
"107",25,31,1
"108",31,32,1
"109",10,18,0
"110",11,19,1
"111",19,27,0
"112",11,19,0
"113",15,23,0
"114",5,12,1
"115",12,20,1
"116",20,26,1
"117",26,33,1
"118",33,35,1
"119",6,13,1
"120",13,21,1
"121",21,27,1
"122",27,34,1
"123",9,16,1
"124",16,24,0
